Municipio;Ano;Populacao
110001 ALTA FLORESTA D'OESTE;2010;24958
110001 ALTA FLORESTA D'OESTE;2011;24737
110001 ALTA FLORESTA D'OESTE;2012;24516
110001 ALTA FLORESTA D'OESTE;2013;24293
110001 ALTA FLORESTA D'OESTE;2014;24066
110001 ALTA FLORESTA D'OESTE;2015;23835
110001 ALTA FLORESTA D'OESTE;2016;23614
110001 ALTA FLORESTA D'OESTE;2017;23392
110001 ALTA FLORESTA D'OESTE;2018;23167
110001 ALTA FLORESTA D'OESTE;2019;22945
110001 ALTA FLORESTA D'OESTE;2020;22728
110001 ALTA FLORESTA D'OESTE;2021;22516
110002 ARIQUEMES;2010;92448
110002 ARIQUEMES;2011;94138
110002 ARIQUEMES;2012;95836
110002 ARIQUEMES;2013;97540
110002 ARIQUEMES;2014;99278
110002 ARIQUEMES;2015;101048
110002 ARIQUEMES;2016;102744
110002 ARIQUEMES;2017;104441
110002 ARIQUEMES;2018;106168
110002 ARIQUEMES;2019;107863
110002 ARIQUEMES;2020;109523
110002 ARIQUEMES;2021;111148
110003 CABIXI;2010;6459
110003 CABIXI;2011;6333
110003 CABIXI;2012;6207
110003 CABIXI;2013;6080
110003 CABIXI;2014;5951
110003 CABIXI;2015;5819
110003 CABIXI;2016;5693
110003 CABIXI;2017;5567
110003 CABIXI;2018;5438
110003 CABIXI;2019;5312
110003 CABIXI;2020;5188
110003 CABIXI;2021;5067
110004 CACOAL;2010;80396
110004 CACOAL;2011;80940
110004 CACOAL;2012;81487
110004 CACOAL;2013;82035
110004 CACOAL;2014;82595
110004 CACOAL;2015;83164
110004 CACOAL;2016;83710
110004 CACOAL;2017;84257
110004 CACOAL;2018;84813
110004 CACOAL;2019;85359
110004 CACOAL;2020;85893
110004 CACOAL;2021;86416
110005 CEREJEIRAS;2010;17424
110005 CEREJEIRAS;2011;17303
110005 CEREJEIRAS;2012;17182
110005 CEREJEIRAS;2013;17060
110005 CEREJEIRAS;2014;16936
110005 CEREJEIRAS;2015;16810
110005 CEREJEIRAS;2016;16689
110005 CEREJEIRAS;2017;16567
110005 CEREJEIRAS;2018;16444
110005 CEREJEIRAS;2019;16323
110005 CEREJEIRAS;2020;16204
110005 CEREJEIRAS;2021;16088
110006 COLORADO DO OESTE;2010;19022
110006 COLORADO DO OESTE;2011;18678
110006 COLORADO DO OESTE;2012;18332
110006 COLORADO DO OESTE;2013;17985
110006 COLORADO DO OESTE;2014;17631
110006 COLORADO DO OESTE;2015;17270
110006 COLORADO DO OESTE;2016;16925
110006 COLORADO DO OESTE;2017;16579
110006 COLORADO DO OESTE;2018;16227
110006 COLORADO DO OESTE;2019;15882
110006 COLORADO DO OESTE;2020;15544
110006 COLORADO DO OESTE;2021;15213
110007 CORUMBIARA;2010;8987
110007 CORUMBIARA;2011;8812
110007 CORUMBIARA;2012;8636
110007 CORUMBIARA;2013;8460
110007 CORUMBIARA;2014;8280
110007 CORUMBIARA;2015;8097
110007 CORUMBIARA;2016;7921
110007 CORUMBIARA;2017;7746
110007 CORUMBIARA;2018;7567
110007 CORUMBIARA;2019;7391
110007 CORUMBIARA;2020;7220
110007 CORUMBIARA;2021;7052
110008 COSTA MARQUES;2010;13995
110008 COSTA MARQUES;2011;14470
110008 COSTA MARQUES;2012;14948
110008 COSTA MARQUES;2013;15427
110008 COSTA MARQUES;2014;15916
110008 COSTA MARQUES;2015;16414
110008 COSTA MARQUES;2016;16891
110008 COSTA MARQUES;2017;17369
110008 COSTA MARQUES;2018;17855
110008 COSTA MARQUES;2019;18331
110008 COSTA MARQUES;2020;18798
110008 COSTA MARQUES;2021;19255
110009 ESPIGAO D'OESTE;2010;29395
110009 ESPIGAO D'OESTE;2011;29722
110009 ESPIGAO D'OESTE;2012;30050
110009 ESPIGAO D'OESTE;2013;30379
110009 ESPIGAO D'OESTE;2014;30715
110009 ESPIGAO D'OESTE;2015;31057
110009 ESPIGAO D'OESTE;2016;31385
110009 ESPIGAO D'OESTE;2017;31713
110009 ESPIGAO D'OESTE;2018;32047
110009 ESPIGAO D'OESTE;2019;32374
110009 ESPIGAO D'OESTE;2020;32695
110009 ESPIGAO D'OESTE;2021;33009
110010 GUAJARA-MIRIM;2010;42622
110010 GUAJARA-MIRIM;2011;43011
110010 GUAJARA-MIRIM;2012;43403
110010 GUAJARA-MIRIM;2013;43795
110010 GUAJARA-MIRIM;2014;44196
110010 GUAJARA-MIRIM;2015;44603
110010 GUAJARA-MIRIM;2016;44994
110010 GUAJARA-MIRIM;2017;45385
110010 GUAJARA-MIRIM;2018;45783
110010 GUAJARA-MIRIM;2019;46174
110010 GUAJARA-MIRIM;2020;46556
110010 GUAJARA-MIRIM;2021;46930
110011 JARU;2010;53211
110011 JARU;2011;53054
110011 JARU;2012;52895
110011 JARU;2013;52737
110011 JARU;2014;52575
110011 JARU;2015;52410
110011 JARU;2016;52252
110011 JARU;2017;52094
110011 JARU;2018;51933
110011 JARU;2019;51775
110011 JARU;2020;51620
110011 JARU;2021;51469
110012 JI-PARANA;2010;119314
110012 JI-PARANA;2011;120372
110012 JI-PARANA;2012;121436
110012 JI-PARANA;2013;122503
110012 JI-PARANA;2014;123592
110012 JI-PARANA;2015;124700
110012 JI-PARANA;2016;125762
110012 JI-PARANA;2017;126826
110012 JI-PARANA;2018;127907
110012 JI-PARANA;2019;128969
110012 JI-PARANA;2020;130009
110012 JI-PARANA;2021;131026
110013 MACHADINHO D'OESTE;2010;31857
110013 MACHADINHO D'OESTE;2011;32749
110013 MACHADINHO D'OESTE;2012;33645
110013 MACHADINHO D'OESTE;2013;34544
110013 MACHADINHO D'OESTE;2014;35461
110013 MACHADINHO D'OESTE;2015;36395
110013 MACHADINHO D'OESTE;2016;37289
110013 MACHADINHO D'OESTE;2017;38185
110013 MACHADINHO D'OESTE;2018;39097
110013 MACHADINHO D'OESTE;2019;39991
110013 MACHADINHO D'OESTE;2020;40867
110013 MACHADINHO D'OESTE;2021;41724
110014 NOVA BRASILANDIA D'OESTE;2010;20335
110014 NOVA BRASILANDIA D'OESTE;2011;20350
110014 NOVA BRASILANDIA D'OESTE;2012;20366
110014 NOVA BRASILANDIA D'OESTE;2013;20381
110014 NOVA BRASILANDIA D'OESTE;2014;20397
110014 NOVA BRASILANDIA D'OESTE;2015;20413
110014 NOVA BRASILANDIA D'OESTE;2016;20428
110014 NOVA BRASILANDIA D'OESTE;2017;20443
110014 NOVA BRASILANDIA D'OESTE;2018;20459
110014 NOVA BRASILANDIA D'OESTE;2019;20474
110014 NOVA BRASILANDIA D'OESTE;2020;20489
110014 NOVA BRASILANDIA D'OESTE;2021;20504
110015 OURO PRETO DO OESTE;2010;38807
110015 OURO PRETO DO OESTE;2011;38503
110015 OURO PRETO DO OESTE;2012;38198
110015 OURO PRETO DO OESTE;2013;37891
110015 OURO PRETO DO OESTE;2014;37579
110015 OURO PRETO DO OESTE;2015;37261
110015 OURO PRETO DO OESTE;2016;36956
110015 OURO PRETO DO OESTE;2017;36650
110015 OURO PRETO DO OESTE;2018;36340
110015 OURO PRETO DO OESTE;2019;36035
110015 OURO PRETO DO OESTE;2020;35737
110015 OURO PRETO DO OESTE;2021;35445
110018 PIMENTA BUENO;2010;34606
110018 PIMENTA BUENO;2011;34831
110018 PIMENTA BUENO;2012;35057
110018 PIMENTA BUENO;2013;35284
110018 PIMENTA BUENO;2014;35516
110018 PIMENTA BUENO;2015;35752
110018 PIMENTA BUENO;2016;35978
110018 PIMENTA BUENO;2017;36204
110018 PIMENTA BUENO;2018;36434
110018 PIMENTA BUENO;2019;36660
110018 PIMENTA BUENO;2020;36881
110018 PIMENTA BUENO;2021;37098
110020 PORTO VELHO;2010;438458
110020 PORTO VELHO;2011;448441
110020 PORTO VELHO;2012;458477
110020 PORTO VELHO;2013;468543
110020 PORTO VELHO;2014;478816
110020 PORTO VELHO;2015;489272
110020 PORTO VELHO;2016;499293
110020 PORTO VELHO;2017;509323
110020 PORTO VELHO;2018;519531
110020 PORTO VELHO;2019;529544
110020 PORTO VELHO;2020;539354
110020 PORTO VELHO;2021;548952
110025 PRESIDENTE MEDICI;2010;22836
110025 PRESIDENTE MEDICI;2011;22414
110025 PRESIDENTE MEDICI;2012;21990
110025 PRESIDENTE MEDICI;2013;21564
110025 PRESIDENTE MEDICI;2014;21130
110025 PRESIDENTE MEDICI;2015;20688
110025 PRESIDENTE MEDICI;2016;20264
110025 PRESIDENTE MEDICI;2017;19840
110025 PRESIDENTE MEDICI;2018;19409
110025 PRESIDENTE MEDICI;2019;18986
110025 PRESIDENTE MEDICI;2020;18571
110025 PRESIDENTE MEDICI;2021;18165
110026 RIO CRESPO;2010;3393
110026 RIO CRESPO;2011;3434
