"Municipio";"Ano";"Infeccioso";"Nutricional";"Respiratório";"Perinatal";"Congenital";"Externo"
"110001 ALTA FLORESTA D'OESTE";2010;4;3;8;6;3;27
"110002 ARIQUEMES";2010;18;20;30;14;4;94
"110003 CABIXI";2010;3;4;7;0;0;2
"110004 CACOAL";2010;13;33;20;8;3;73
"110005 CEREJEIRAS";2010;2;5;10;0;3;21
"110006 COLORADO DO OESTE";2010;3;2;10;7;1;15
"110007 CORUMBIARA";2010;2;1;9;1;2;3
"110008 COSTA MARQUES";2010;1;1;1;1;0;16
"110009 ESPIGAO D'OESTE";2010;4;7;10;2;6;14
"110010 GUAJARA-MIRIM";2010;12;24;22;12;2;30
"110011 JARU";2010;9;14;18;8;2;40
"110012 JI-PARANA";2010;51;10;143;17;9;105
"110013 MACHADINHO D'OESTE";2010;4;5;8;2;2;30
"110014 NOVA BRASILANDIA D'OESTE";2010;4;6;4;6;1;10
"110015 OURO PRETO DO OESTE";2010;6;21;17;4;3;32
"110018 PIMENTA BUENO";2010;5;9;7;9;2;37
"110020 PORTO VELHO";2010;145;122;185;95;39;502
"110025 PRESIDENTE MEDICI";2010;4;14;10;0;1;9
"110026 RIO CRESPO";2010;1;0;2;0;0;7
"110028 ROLIM DE MOURA";2010;17;12;12;3;6;46
"110029 SANTA LUZIA D'OESTE";2010;0;1;2;1;1;4
"110030 VILHENA";2010;18;15;29;17;7;72
"110032 SAO MIGUEL DO GUAPORE";2010;2;5;4;1;0;20
"110033 NOVA MAMORE";2010;4;4;3;6;1;30
"110034 ALVORADA D'OESTE";2010;1;4;6;4;0;14
"110037 ALTO ALEGRE DOS PARECIS";2010;1;3;3;2;0;13
"110040 ALTO PARAISO";2010;1;7;5;4;3;28
"110045 BURITIS";2010;6;9;8;4;1;48
"110050 NOVO HORIZONTE DO OESTE";2010;0;1;4;0;0;5
"110060 CACAULANDIA";2010;1;1;1;0;0;1
"110070 CAMPO NOVO DE RONDONIA";2010;5;2;2;3;0;19
"110080 CANDEIAS DO JAMARI";2010;4;5;5;6;1;25
"110090 CASTANHEIRAS";2010;0;1;1;0;1;5
"110092 CHUPINGUAIA";2010;2;2;0;0;1;5
"110094 CUJUBIM";2010;2;4;3;3;0;16
"110100 GOVERNADOR JORGE TEIXEIRA";2010;1;1;1;1;0;1
"110110 ITAPUA DO OESTE";2010;1;1;1;0;0;6
"110120 MINISTRO ANDREAZZA";2010;3;1;3;1;1;8
"110130 MIRANTE DA SERRA";2010;2;1;3;3;0;6
"110140 MONTE NEGRO";2010;3;5;3;3;1;12
"110143 NOVA UNIAO";2010;1;0;2;0;1;3
"110145 PARECIS";2010;0;3;3;1;0;2
"110146 PIMENTEIRAS DO OESTE";2010;0;1;1;1;1;1
"110147 PRIMAVERA DE RONDONIA";2010;0;1;2;0;0;1
"110148 SAO FELIPE D'OESTE";2010;0;3;2;0;0;4
"110149 SAO FRANCISCO DO GUAPORE";2010;2;2;3;2;1;14
"110150 SERINGUEIRAS";2010;1;3;2;1;1;9
"110155 TEIXEIROPOLIS";2010;0;2;2;1;0;0
"110160 THEOBROMA";2010;3;1;2;0;0;7
"110170 URUPA";2010;0;4;2;1;1;6
"110175 VALE DO ANARI";2010;2;2;1;0;0;11
"110180 VALE DO PARAISO";2010;1;1;3;1;0;1
"120001 ACRELANDIA";2010;3;2;4;3;1;6
"120005 ASSIS BRASIL";2010;2;1;0;2;1;3
"120010 BRASILEIA";2010;3;9;9;5;0;19
"120013 BUJARI";2010;1;0;2;3;0;0
"120017 CAPIXABA";2010;3;2;2;2;0;5
"120020 CRUZEIRO DO SUL";2010;15;16;35;13;3;43
"120025 EPITACIOLANDIA";2010;2;0;3;4;1;6
"120030 FEIJO";2010;5;4;9;4;2;13
"120032 JORDAO";2010;1;1;3;2;1;0
"120033 MANCIO LIMA";2010;3;2;5;2;0;9
"120034 MANOEL URBANO";2010;0;0;0;4;1;4
"120035 MARECHAL THAUMATURGO";2010;3;3;3;2;0;2
"120038 PLACIDO DE CASTRO";2010;0;5;5;1;0;9
"120039 PORTO WALTER";2010;8;0;0;2;1;2
"120040 RIO BRANCO";2010;88;101;186;63;21;255
"120042 RODRIGUES ALVES";2010;2;2;1;5;0;4
"120043 SANTA ROSA DO PURUS";2010;6;0;1;0;1;1
"120045 SENADOR GUIOMARD";2010;6;9;6;0;4;12
"120050 SENA MADUREIRA";2010;13;11;13;12;1;16
"120060 TARAUACA";2010;12;9;10;7;1;15
"120070 XAPURI";2010;2;6;6;5;1;4
"120080 PORTO ACRE";2010;2;1;6;5;1;11
"130002 ALVARAES";2010;1;2;2;4;1;5
"130006 AMATURA";2010;1;0;0;1;2;3
"130008 ANAMA";2010;2;3;0;1;1;2
"130010 ANORI";2010;1;1;4;1;1;5
"130014 APUI";2010;1;2;3;2;1;23
"130020 ATALAIA DO NORTE";2010;6;7;6;5;1;3
"130030 AUTAZES";2010;6;4;5;5;2;18
"130040 BARCELOS";2010;3;4;5;3;0;6
"130050 BARREIRINHA";2010;6;7;3;5;1;1
"130060 BENJAMIN CONSTANT";2010;14;7;12;7;0;19
"130063 BERURI";2010;1;3;2;3;1;5
"130068 BOA VISTA DO RAMOS";2010;0;2;3;2;1;3
"130070 BOCA DO ACRE";2010;4;3;4;3;1;13
"130080 BORBA";2010;5;7;7;4;4;11
"130083 CAAPIRANGA";2010;0;0;2;1;0;0
"130090 CANUTAMA";2010;3;0;4;2;1;5
"130100 CARAUARI";2010;4;1;7;12;0;8
"130110 CAREIRO";2010;2;4;6;2;2;14
"130115 CAREIRO DA VARZEA";2010;0;3;2;4;0;5
