"CODMUNNASC";"ano";"PESO";"APGAR1";"APGAR5"
110001;2010;3315,83333333333;7,83018867924528;9,02695417789757
110001;2011;3296,37979094077;7,88811188811189;9,11888111888112
110002;2010;3196,43856019859;8,31692180388912;9,52585850227555
110002;2011;3210,99871410201;8,54130808950086;9,62134251290878
110003;2010;3384,78703703704;7,18518518518519;8,62037037037037
110003;2011;3289,49152542373;7,54237288135593;8,77966101694915
110004;2010;3234,37887788779;7,96622516556291;9,13112582781457
110004;2011;3231,35282522996;7,95046235138705;9,1327608982827
110005;2010;3297,88461538462;7,66666666666667;8,81935483870968
110005;2011;3373,33333333333;7,69758064516129;8,88259109311741
110006;2010;3181,05960264901;8,32450331125828;9,72185430463576
110006;2011;3253,18493150685;8,21232876712329;9,43835616438356
110007;2010;3325;9;10
110008;2010;3239,02429149798;7,45748987854251;8,70325203252033
110008;2011;3299,3306122449;7,46938775510204;8,78775510204082
110009;2010;3234,93069306931;7,94352159468439;9,08970099667774
110009;2011;3251,69565217391;7,78832116788321;9,06082725060827
110010;2010;3356,00749464668;7,9774678111588;8,97317596566524
110010;2011;3317,08165225744;8,20288461538462;9,20096153846154
110011;2010;3272,58706467662;8,09651741293532;9,11243781094527
110011;2011;3278,10909090909;8,0411877394636;9,0632183908046
110012;2010;3236,31733167082;8,404375;9,450625
110012;2011;3233,07000407;8,12174267100977;9,24928716904277
110013;2010;3232,59154929577;7,90845070422535;8,96948356807512
110013;2011;3263,09166666667;7,96450939457203;9,02092050209205
110014;2010;3205,13605442177;7,26530612244898;8,45238095238095
110014;2011;3243,03676470588;7,40073529411765;8,59558823529412
110015;2010;3233,34710743802;8,4178145087236;9,41873278236915
110015;2011;3217,92791970803;8,43156934306569;9,38412408759124
110018;2010;3231,64596273292;8,14409937888199;9,30597014925373
110018;2011;3218,4875739645;8,41943127962085;9,52426035502959
110020;2010;3168,77054679638;8,0062132851333;9,18152038856885
110020;2011;3182,89775561097;8,18276734866062;9,27727368643174
110025;2010;3329,72972972973;7,7;8,61818181818182
110025;2011;2938,18181818182;7,36363636363636;8,36363636363636
110028;2010;3240,68481375358;7,90537634408602;8,95480631276901
110028;2011;3252,96893990547;7,96691424713032;8,98244429439568
110029;2010;3202,72727272727;7,72727272727273;9,54545454545454
110029;2011;3191,25;8;9
110030;2010;3166,31955307263;8,52109974424552;9,19065898912348
110030;2011;3212,39735828288;8,43676470588235;9,16334072431633
110032;2010;3350,23255813953;7,00943396226415;8,47169811320755
110032;2011;3299,08018867925;7,54761904761905;8,54761904761905
110033;2010;3358,14381270903;7,561872909699;8,67892976588629
110033;2011;3325,37872340426;7,51489361702128;8,71794871794872
110034;2010;3264,14893617021;7,50537634408602;8,6
110034;2011;3311,84722222222;7,58796296296296;8,74074074074074
110037;2010;3006,66666666667;8,66666666666667;9,66666666666667
110037;2011;3240;7;10
110040;2010;3051,92307692308;6,58333333333333;8,66666666666667
110040;2011;3158;7,7;9,6
110045;2010;3258,81392235609;8,68230563002681;9,6769436997319
110045;2011;3252,52476415094;8,77186761229314;9,77922077922078
110050;2011;2800;8;9
110060;2010;3220;8;9
110060;2011;2941,66666666667;7;9
110070;2010;2850;9;10
110070;2011;3000;8;9
110080;2010;3126,66666666667;8,66666666666667;9,66666666666667
110080;2011;3237,5;9;NA
110092;2010;2800;8;9
110092;2011;NA;9;10
110094;2010;3389;7,36842105263158;8,72222222222222
110094;2011;3202,70588235294;7,70588235294118;8,94117647058824
110100;2010;3350;8,16666666666667;9,41666666666667
110100;2011;2966,66666666667;8,33333333333333;9,33333333333333
110110;2010;3327;7,2;8,6
110110;2011;3152,7619047619;7,76190476190476;9,33333333333333
110120;2010;3280;8;9
110120;2011;3125;9;10
110130;2010;3282,67955801105;7,68508287292818;9,03314917127072
110130;2011;3326,27118644068;7,83898305084746;9,00847457627119
110140;2010;3441,01694915254;7,66101694915254;8,70338983050847
110140;2011;3276,76767676768;7,64646464646465;8,75757575757576
110143;2011;3343,24324324324;8,02702702702703;8,83783783783784
110145;2010;3700;7;10
110145;2011;3600;8;9
110148;2011;2235;8,5;9,5
110149;2010;3350,9375;7,69711538461539;8,78365384615385
110149;2011;3350,81042654028;7,72511848341232;8,81042654028436
110150;2010;3460,58720930233;7,59883720930233;9,83139534883721
110150;2011;3485;7,2043795620438;9,83941605839416
110155;2010;2650;8;9
110155;2011;4290;9;8
110160;2010;3140;NA;NA
110170;2010;3037,5;7,125;8,75
110170;2011;2950;7,66666666666667;7,66666666666667
110175;2010;2733,33333333333;7,66666666666667;8
110175;2011;3325;7,5;8,25
110180;2010;2700;8;9
120001;2010;3205,47619047619;8,12195121951219;9,1
120001;2011;3483,85185185185;8,14814814814815;9,25925925925926
120005;2010;3110,67857142857;7,71739130434783;9,03260869565217
120005;2011;3171,68789808917;8,18796992481203;9,53383458646617
120010;2010;3306,7217630854;7,72803347280335;8,96094839609484
120010;2011;3320,90039840637;7,53296703296703;8,76236263736264
120013;2010;3385;10;NA
120013;2011;2650;9;10
120017;2010;3183,33333333333;NA;NA
120017;2011;3000;7;10
120020;2010;3213,55322787516;8,37960088691796;9,55875831485588
120020;2011;3223,19019963702;8,27143922445936;9,50223713646532
120025;2010;3070;8;9
120025;2011;3250;NA;NA
120030;2010;3225,49918699187;7,97690217391304;9,9700272479564
120030;2011;3256,94408945687;7,96796657381616;9,8983286908078
120032;2010;2985,11312217195;7,90243902439024;9,21951219512195
120032;2011;3014,72037914692;7,75438596491228;9
120033;2010;3243,59745762712;8,74248927038627;9,88841201716738
120033;2011;3189,095;8,73333333333333;9,94358974358974
120034;2010;3247,69736842105;7,60526315789474;9,23684210526316
120034;2011;3262,42105263158;7,57391304347826;9,16521739130435
120035;2010;3217,22996515679;8,3;8,9
120035;2011;3290,62244897959;7,83050847457627;8,54237288135593
120038;2010;3433,53333333333;7,88888888888889;9,53333333333333
120038;2011;3458,67647058824;7,82089552238806;9,53731343283582
120039;2010;3536,45185185185;8,60344827586207;8,73275862068965
120039;2011;3618,35294117647;8,69230769230769;8,58119658119658
120040;2010;3184,12977914985;8,24617363344051;9,02572347266881
120040;2011;3195,45476720755;8,37116788321168;9,05354100754441
