"Município","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"TOTAL",194890682,196603732,198314934,200004188,201717541,203475683,205156587,206804741,208494900,210147125,211755692,213317639
"110001 ALTA FLORESTA D'OESTE",24958,24737,24516,24293,24066,23835,23614,23392,23167,22945,22728,22516
"110002 ARIQUEMES",92448,94138,95836,97540,99278,101048,102744,104441,106168,107863,109523,111148
"110003 CABIXI",6459,6333,6207,6080,5951,5819,5693,5567,5438,5312,5188,5067
"110004 CACOAL",80396,80940,81487,82035,82595,83164,83710,84257,84813,85359,85893,86416
"110005 CEREJEIRAS",17424,17303,17182,17060,16936,16810,16689,16567,16444,16323,16204,16088
"110006 COLORADO DO OESTE",19022,18678,18332,17985,17631,17270,16925,16579,16227,15882,15544,15213
"110007 CORUMBIARA",8987,8812,8636,8460,8280,8097,7921,7746,7567,7391,7220,7052
"110008 COSTA MARQUES",13995,14470,14948,15427,15916,16414,16891,17369,17855,18331,18798,19255
"110009 ESPIGAO D'OESTE",29395,29722,30050,30379,30715,31057,31385,31713,32047,32374,32695,33009
"110010 GUAJARA-MIRIM",42622,43011,43403,43795,44196,44603,44994,45385,45783,46174,46556,46930
"110011 JARU",53211,53054,52895,52737,52575,52410,52252,52094,51933,51775,51620,51469
"110012 JI-PARANA",119314,120372,121436,122503,123592,124700,125762,126826,127907,128969,130009,131026
"110013 MACHADINHO D'OESTE",31857,32749,33645,34544,35461,36395,37289,38185,39097,39991,40867,41724
"110014 NOVA BRASILANDIA D'OESTE",20335,20350,20366,20381,20397,20413,20428,20443,20459,20474,20489,20504
"110015 OURO PRETO DO OESTE",38807,38503,38198,37891,37579,37261,36956,36650,36340,36035,35737,35445
"110018 PIMENTA BUENO",34606,34831,35057,35284,35516,35752,35978,36204,36434,36660,36881,37098
"110020 PORTO VELHO",438458,448441,458477,468543,478816,489272,499293,509323,519531,529544,539354,548952
"110025 PRESIDENTE MEDICI",22836,22414,21990,21564,21130,20688,20264,19840,19409,18986,18571,18165
"110026 RIO CRESPO",3393,3434,3475,3516,3557,3600,3641,3682,3723,3764,3804,3843
"110028 ROLIM DE MOURA",51822,52177,52533,52891,53256,53627,53983,54340,54702,55058,55407,55748
"110029 SANTA LUZIA D'OESTE",9092,8807,8521,8234,7941,7643,7358,7072,6781,6495,6216,5942
"110030 VILHENA",77969,80368,82779,85198,87666,90178,92585,94995,97448,99854,102211,104517
"110032 SAO MIGUEL DO GUAPORE",22334,22408,22481,22555,22631,22708,22782,22856,22931,23005,23077,23147
"110033 NOVA MAMORE",23069,23893,24720,25551,26398,27261,28088,28915,29757,30583,31392,32184
"110034 ALVORADA D'OESTE",17244,16933,16621,16308,15989,15664,15352,15040,14722,14411,14106,13807
"110037 ALTO ALEGRE DOS PARECIS",13113,13127,13141,13155,13170,13184,13199,13213,13227,13241,13255,13268
"110040 ALTO PARAISO",17532,17959,18388,18819,19258,19705,20134,20563,20999,21428,21847,22258
"110045 BURITIS",33134,33849,34567,35287,36023,36771,37488,38206,38937,39654,40356,41043
"110050 NOVO HORIZONTE DO OESTE",10477,10264,10051,9836,9618,9395,9182,8968,8751,8538,8329,8125
"110060 CACAULANDIA",5869,5909,5948,5988,6029,6070,6110,6150,6190,6230,6269,6307
"110070 CAMPO NOVO DE RONDONIA",12959,13088,13218,13349,13482,13617,13747,13877,14009,14139,14266,14391
"110080 CANDEIAS DO JAMARI",20238,20946,21657,22370,23098,23839,24549,25260,25983,26693,27388,28068
"110090 CASTANHEIRAS",3658,3592,3525,3458,3390,3320,3254,3187,3119,3052,2987,2923
"110092 CHUPINGUAIA",8493,8788,9084,9381,9684,9993,10289,10585,10886,11182,11472,11755
"110094 CUJUBIM",16222,17208,18198,19192,20207,21239,22228,23218,24226,25215,26183,27131
"110100 GOVERNADOR JORGE TEIXEIRA",10756,10428,10099,9769,9431,9088,8759,8430,8095,7767,7445,7130
"110110 ITAPUA DO OESTE",8765,8951,9137,9324,9515,9710,9896,10082,10272,10458,10641,10819
"110120 MINISTRO ANDREAZZA",10592,10490,10387,10284,10179,10072,9969,9867,9762,9660,9559,9461
"110130 MIRANTE DA SERRA",12153,12021,11888,11755,11619,11480,11348,11215,11080,10947,10818,10691
"110140 MONTE NEGRO",14418,14575,14733,14892,15054,15218,15376,15534,15695,15852,16007,16158
"110143 NOVA UNIAO",7667,7591,7514,7437,7358,7278,7202,7125,7047,6970,6895,6822
"110145 PARECIS",4922,5048,5175,5302,5432,5565,5691,5818,5947,6074,6198,6319
"110146 PIMENTEIRAS DO OESTE",2369,2347,2325,2303,2281,2258,2236,2214,2191,2169,2148,2127
"110147 PRIMAVERA DE RONDONIA",3606,3524,3441,3358,3274,3188,3105,3023,2939,2856,2776,2697
"110148 SAO FELIPE D'OESTE",6158,6050,5941,5832,5721,5608,5499,5391,5280,5172,5066,4962
"110149 SAO FRANCISCO DO GUAPORE",16407,16830,17255,17682,18117,18560,18984,19409,19842,20266,20681,21088
"110150 SERINGUEIRAS",11899,11894,11889,11885,11880,11875,11870,11865,11860,11856,11851,11846
"110155 TEIXEIROPOLIS",5001,4925,4849,4772,4694,4614,4538,4462,4384,4308,4233,4160
"110160 THEOBROMA",10896,10846,10797,10747,10696,10644,10594,10544,10494,10444,10395,10348
"110170 URUPA",13275,13077,12878,12678,12474,12266,12067,11868,11665,11467,11272,11081
"110175 VALE DO ANARI",9602,9778,9954,10131,10312,10496,10672,10848,11028,11204,11377,11545
"110180 VALE DO PARAISO",8400,8227,8054,7880,7702,7521,7348,7175,6998,6825,6656,6490
"120001 ACRELANDIA",13081,13327,13579,13821,14069,14318,14551,14781,15020,15256,15490,15721
"120005 ASSIS BRASIL",6335,6457,6583,6703,6826,6951,7067,7181,7300,7417,7534,7649
"120010 BRASILEIA",22325,22771,23231,23670,24120,24574,24996,25414,25848,26278,26702,27123
"120013 BUJARI",8838,8999,9165,9324,9486,9650,9803,9954,10111,10266,10420,10572
"120017 CAPIXABA",9179,9468,9764,10048,10339,10632,10905,11175,11456,11733,12008,12280
"120020 CRUZEIRO DO SUL",81907,82638,83389,84109,84845,85587,86279,86963,87673,88376,89072,89760
"120025 EPITACIOLANDIA",15754,16054,16363,16658,16960,17265,17550,17830,18122,18411,18696,18979
"120030 FEIJO",33816,33925,34037,34144,34254,34364,34467,34569,34675,34780,34884,34986
"120032 JORDAO",6862,7026,7195,7357,7523,7690,7845,7999,8159,8317,8473,8628
"120033 MANCIO LIMA",15864,16216,16577,16924,17277,17635,17968,18297,18638,18977,19311,19643
"120034 MANOEL URBANO",8327,8455,8586,8712,8841,8971,9092,9212,9336,9459,9581,9701
"120035 MARECHAL THAUMATURGO",14843,15298,15765,16213,16670,17132,17563,17988,18430,18867,19299,19727
"120038 PLACIDO DE CASTRO",17954,18158,18368,18569,18774,18982,19175,19366,19565,19761,19955,20147
"120039 PORTO WALTER",9573,9845,10125,10393,10667,10944,11201,11456,11720,11982,12241,12497
"120040 RIO BRANCO",350589,356998,363589,369899,376348,382864,388932,394924,401155,407319,413418,419452
"120042 RODRIGUES ALVES",15012,15455,15910,16345,16791,17241,17660,18074,18504,18930,19351,19767
"120043 SANTA ROSA DO PURUS",4894,5080,5271,5454,5642,5831,6007,6181,6362,6540,6717,6893
"120045 SENADOR GUIOMARD",21053,21276,21505,21724,21948,22174,22385,22593,22810,23024,23236,23446
"120050 SENA MADUREIRA",39676,40373,41090,41777,42478,43187,43847,44499,45177,45848,46511,47168
"120060 TARAUACA",37131,37745,38377,38981,39599,40224,40805,41379,41976,42567,43151,43730
"120070 XAPURI",16788,17074,17369,17651,17939,18230,18501,18769,19048,19323,19596,19866
"120080 PORTO ACRE",15524,15861,16207,16538,16877,17219,17538,17853,18180,18504,18824,19141
"130002 ALVARAES",14368,14552,14739,14929,15122,15315,15497,15677,15860,16041,16220,16396
"130006 AMATURA",9655,9861,10072,10285,10502,10719,10924,11126,11332,11536,11736,11934
"130008 ANAMA",10417,10768,11126,11488,11858,12226,12574,12918,13269,13614,13956,14292
"130010 ANORI",16641,17120,17610,18105,18610,19113,19589,20059,20538,21010,21477,21937
"130014 APUI",18364,18760,19165,19573,19990,20406,20799,21187,21583,21973,22359,22739
"130020 ATALAIA DO NORTE",15454,15944,16445,16950,17467,17981,18468,18948,19438,19921,20398,20868
"130030 AUTAZES",32773,33518,34279,35048,35833,36615,37355,38086,38830,39565,40290,41005
"130040 BARCELOS",26229,26369,26511,26655,26802,26949,27088,27225,27364,27502,27638,27772
"130050 BARREIRINHA",27898,28353,28817,29286,29765,30242,30693,31139,31593,32041,32483,32919
"130060 BENJAMIN CONSTANT",34074,35052,36050,37059,38089,39115,40085,41044,42020,42984,43935,44873
"130063 BERURI",15793,16219,16655,17095,17544,17991,18414,18833,19258,19679,20093,20503
"130068 BOA VISTA DO RAMOS",15276,15707,16148,16593,17047,17500,17928,18351,18781,19207,19626,20040
"130070 BOCA DO ACRE",31240,31577,31920,32268,32622,32976,33310,33640,33976,34308,34635,34958
"130080 BORBA",35655,36259,36876,37499,38136,38770,39369,39962,40565,41161,41748,42328
"130083 CAAPIRANGA",11193,11400,11612,11826,12044,12261,12467,12670,12877,13081,13283,13482
"130090 CANUTAMA",13967,14149,14336,14524,14716,14907,15089,15267,15450,15629,15807,15981
"130100 CARAUARI",26286,26506,26731,26959,27191,27422,27640,27856,28076,28294,28508,28719
"130110 CAREIRO",33384,33876,34379,34887,35405,35921,36410,36892,37384,37869,38348,38820
"130115 CAREIRO DA VARZEA",24405,25044,25696,26355,27027,27697,28331,28958,29595,30225,30846,31459
"130120 COARI",77473,78309,79164,80027,80908,81786,82616,83437,84272,85097,85910,86713
"130130 CODAJAS",23667,24212,24769,25332,25906,26479,27020,27555,28100,28637,29168,29691
"130140 EIRUNEPE",31274,31713,32161,32614,33076,33536,33972,34402,34840,35273,35700,36121
"130150 ENVIRA",16662,17032,17410,17791,18181,18569,18936,19299,19668,20033,20393,20748
"130160 FONTE BOA",23270,22649,22014,21373,20719,20067,19451,18842,18221,17609,17005,16409
"130165 GUAJARA",14251,14517,14789,15064,15345,15624,15889,16150,16416,16678,16937,17193
"130170 HUMAITA",45105,46199,47317,48447,49599,50748,51835,52908,54001,55080,56144,57195
"130180 IPIXUNA",22696,23463,24247,25039,25847,26652,27414,28167,28933,29689,30436,31172
"130185 IRANDUBA",41591,42327,43078,43837,44612,45384,46115,46836,47571,48296,49011,49718
"130190 ITACOATIARA",88563,89965,91396,92843,94319,95790,97181,98556,99955,101337,102701,104046
"130195 ITAMARATI",8198,8160,8121,8082,8042,8002,7964,7926,7888,7851,7814,7777
"130200 ITAPIRANGA",8374,8459,8546,8633,8723,8812,8896,8979,9064,9148,9230,9312
"130210 JAPURA",7471,6954,6425,5891,5346,4803,4289,3782,3265,2755,2251,1755
"130220 JURUA",11016,11421,11836,12254,12681,13107,13509,13907,14312,14712,15106,15495
"130230 JUTAI",18349,17907,17455,16998,16532,16068,15628,15195,14753,14317,13886,13462
"130240 LABREA",38449,39285,40139,41002,41882,42760,43590,44410,45245,46069,46882,47685
"130250 MANACAPURU",86831,87988,89170,90364,91583,92797,93946,95080,96236,97377,98502,99613
"130255 MANAQUIRI",23254,24225,25217,26219,27242,28261,29225,30178,31147,32105,33049,33981
"130260 MANAUS",1837786,1875635,1914299,1953360,1993222,2032944,2070529,2107646,2145444,2182763,2219580,2255903
"130270 MANICORE",47950,48806,49680,50563,51465,52363,53213,54052,54907,55751,56583,57405
"130280 MARAA",17876,17914,17953,17993,18033,18073,18111,18148,18186,18224,18261,18298
"130290 MAUES",53273,54439,55631,56835,58063,59288,60446,61590,62755,63905,65040,66159
"130300 NHAMUNDA",18641,18919,19203,19489,19782,20073,20349,20621,20899,21173,21443,21710
"130310 NOVA OLINDA DO NORTE",31305,31971,32652,33340,34041,34741,35402,36056,36721,37378,38026,38665
"130320 NOVO AIRAO",15015,15502,16000,16502,17015,17526,18010,18488,18974,19454,19928,20395
"130330 NOVO ARIPUANA",21877,22290,22713,23139,23574,24008,24419,24824,25237,25644,26046,26443
"130340 PARINTINS",104059,105180,106324,107481,108661,109837,110950,112049,113168,114273,115363,116439
"130350 PAUINI",18527,18626,18726,18828,18932,19036,19133,19230,19329,19426,19522,19616
"130353 PRESIDENTE FIGUEIREDO",27714,28654,29614,30583,31573,32559,33492,34414,35352,36279,37193,38095
"130356 RIO PRETO DA EVA",26230,27011,27808,28614,29437,30256,31031,31797,32577,33347,34106,34856
"130360 SANTA ISABEL DO RIO NEGRO",18506,19236,19981,20734,21502,22268,22992,23708,24436,25156,25865,26566
"130370 SANTO ANTONIO DO ICA",24967,24598,24221,23840,23451,23063,22697,22335,21966,21602,21243,20889
"130380 SAO GABRIEL DA CACHOEIRA",38648,39407,40182,40965,41764,42561,43314,44058,44816,45564,46303,47031
"130390 SAO PAULO DE OLIVENCA",32046,32842,33655,34476,35314,36149,36939,37720,38515,39299,40073,40837
"130395 SAO SEBASTIAO DO UATUMA",10918,11258,11606,11957,12316,12673,13011,13345,13685,14020,14352,14678
"130400 SILVES",8612,8673,8736,8799,8864,8928,8989,9049,9110,9171,9230,9289
"130406 TABATINGA",53310,54685,56090,57509,58958,60401,61766,63115,64488,65844,67182,68502
"130410 TAPAUA",18480,18335,18186,18036,17883,17732,17587,17445,17299,17156,17015,16876
"130420 TEFE",62673,62363,62047,61727,61400,61075,60767,60464,60154,59849,59547,59250
"130423 TONANTINS",17418,17565,17714,17866,18020,18174,18320,18464,18610,18755,18897,19038
"130426 UARINI",12127,12282,12440,12600,12763,12926,13080,13232,13387,13540,13690,13839
"130430 URUCARA",17433,17304,17172,17039,16903,16767,16639,16512,16383,16256,16130,16007
"130440 URUCURITUBA",18191,18726,19272,19824,20387,20948,21479,22003,22537,23065,23585,24098
"140002 AMAJARI",9500,9847,10195,10543,10896,11249,11605,11988,12394,12796,13185,13561
"140005 ALTO ALEGRE",16753,16612,16471,16329,16186,16043,15902,15766,15638,15510,15380,15249
"140010 BOA VISTA",289576,296711,303862,311030,318284,325965,334801,351112,375374,399213,419652,436591
"140015 BONFIM",11146,11280,11413,11547,11683,11818,11956,12102,12257,12409,12557,12701
"140017 CANTA",14159,14616,15075,15534,15999,16462,16925,17396,17868,18335,18799,19257
"140020 CARACARAI",18739,19086,19433,19782,20135,20486,20838,21199,21564,21926,22283,22635
"140023 CAROEBE",8264,8470,8677,8885,9095,9303,9514,9730,9950,10169,10383,10595
"140028 IRACEMA",8857,9194,9532,9871,10213,10555,10897,11247,11600,11950,12296,12637
"140030 MUCAJAI",15066,15366,15666,15968,16273,16577,16882,17200,17528,17853,18172,18482
"140040 NORMANDIA",9106,9345,9585,9825,10068,10310,10553,10799,11045,11290,11532,11772
"140045 PACARAIMA",10626,10920,11215,11511,11810,12150,12596,13723,15580,17401,18913,20108
"140047 RORAINOPOLIS",24729,25315,25902,26491,27087,27681,28278,28898,29533,30163,30782,31387
"140050 SAO JOAO DA BALIZA",6894,7036,7178,7321,7466,7609,7753,7902,8052,8201,8348,8492
"140060 SAO LUIZ",6875,6996,7117,7239,7362,7485,7608,7733,7860,7986,8110,8232
"140070 UIRAMUTA",8530,8749,8969,9190,9413,9635,9859,10090,10325,10559,10789,11014
"150010 ABAETETUBA",144486,146059,147588,149071,150565,152062,153474,154863,156292,157698,159080,160439
"150013 ABEL FIGUEIREDO",6943,7001,7058,7113,7169,7225,7277,7329,7382,7434,7486,7536
"150020 ACARA",54854,54942,55027,55110,55193,55277,55356,55433,55513,55591,55669,55744
"150030 AFUA",35883,36280,36666,37040,37417,37795,38152,38502,38863,39218,39567,39910
"150034 AGUA AZUL DO NORTE",25658,25869,26074,26273,26473,26674,26863,27050,27241,27430,27615,27797
"150040 ALENQUER",53889,54234,54570,54895,55223,55552,55862,56167,56480,56789,57092,57390
"150050 ALMEIRIM",34421,34384,34348,34313,34277,34242,34209,34176,34142,34109,34076,34044
"150060 ALTAMIRA",101452,103017,104537,106012,107499,108988,110392,111774,113195,114594,115969,117320
"150070 ANAJAS",25353,25820,26274,26715,27158,27603,28022,28435,28859,29277,29688,30091
"150080 ANANINDEUA",483305,488935,494408,499717,505066,510424,515478,520450,525566,530598,535547,540410
"150085 ANAPU",21036,21852,22645,23414,24190,24966,25699,26419,27161,27890,28607,29312
"150090 AUGUSTO CORREA",41469,42008,42532,43041,43553,44066,44550,45026,45516,45998,46471,46937
"150095 AURORA DO PARA",27183,27678,28158,28625,29095,29566,30010,30446,30896,31338,31773,32200
"150100 AVEIRO",16229,16248,16266,16284,16302,16320,16337,16354,16371,16388,16404,16421
"150110 BAGRE",24437,25179,25901,26601,27306,28013,28679,29335,30009,30673,31325,31967
"150120 BAIAO",37767,38919,40039,41126,42221,43317,44352,45369,46416,47446,48459,49454
"150125 BANNACH",3513,3486,3460,3434,3409,3383,3359,3335,3310,3286,3262,3239
"150130 BARCARENA",102255,104925,107520,110037,112574,115114,117511,119868,122294,124680,127027,129333
"150140 BELEM",1426831,1434677,1442305,1449705,1457159,1464628,1471671,1478601,1485732,1492745,1499641,1506420
"150145 BELTERRA",16710,16832,16950,17065,17180,17296,17405,17513,17624,17732,17839,17944
"150150 BENEVIDES",52890,54062,55202,56307,57421,58537,59589,60624,61689,62737,63768,64780
"150157 BOM JESUS DO TOCANTINS",15665,15822,15974,16122,16270,16419,16560,16698,16841,16981,17118,17254
"150160 BONITO",13957,14234,14504,14765,15029,15292,15541,15786,16038,16286,16530,16769
"150170 BRAGANCA",115944,117342,118701,120019,121347,122677,123932,125166,126436,127686,128914,130122
"150172 BRASIL NOVO",16066,15949,15836,15726,15615,15504,15399,15296,15190,15086,14983,14883
"150175 BREJO GRANDE DO ARAGUAIA",7493,7480,7467,7454,7441,7428,7416,7404,7392,7380,7368,7357
"150178 BREU BRANCO",53753,55216,56639,58019,59410,60802,62116,63408,64738,66046,67332,68597
"150180 BREVES",95088,95994,96875,97730,98591,99453,100267,101067,101891,102701,103497,104280
"150190 BUJARU",26312,26648,26974,27290,27609,27929,28230,28527,28832,29132,29427,29717
"150195 CACHOEIRA DO PIRIA",27119,27926,28711,29472,30239,31007,31732,32445,33178,33900,34609,35307
"150200 CACHOEIRA DO ARARI",20934,21271,21599,21917,22238,22559,22862,23159,23466,23767,24064,24355
"150210 CAMETA",123797,125475,127106,128687,130282,131878,133384,134866,136390,137890,139364,140814
"150215 CANAA DOS CARAJAS",27357,28515,29641,30733,31833,32935,33975,34997,36050,37085,38103,39103
"150220 CAPANEMA",65166,65626,66072,66506,66942,67380,67792,68198,68616,69027,69431,69828
"150230 CAPITAO POCO",53138,53277,53412,53542,53674,53806,53931,54053,54179,54303,54425,54545
